Step,x,y,obs_x,obs_y,u_nom_v,u_nom_w,us0v,us0w,us1v,us1w,us2v,us2w
0,0.0,0.0,1.7,1.7,3.6207430978498087,0.941648117523255,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.6998581560283688,1.6998581560283688,3.6207430978498087,0.941648117523255,0.008,0.03,0.008,0.03,0.008,0.03
2,5.6568542494923815e-06,5.656854249492381e-06,1.6997163120567376,1.6997163120567376,3.6207430978498087,0.941648117523255,0.016,0.06,0.016,0.06,0.016,0.06
3,1.6970223332138642e-05,1.6970902154633304e-05,1.6995744680851064,1.6995744680851064,3.6207430978498087,0.941648117523255,0.024,0.089999996,0.024,0.089999996,0.024,0.089999996
4,3.393925866127385e-05,3.394299218499083e-05,1.6994326241134752,1.6994326241134752,3.6207430978498087,0.941648117523255,0.032,0.12,0.032,0.12,0.032,0.12
5,5.656260235777479e-05,5.657448175130068e-05,1.699290780141844,1.699290780141844,3.6207430978498087,0.941648117523255,0.040000003,0.14999999,0.040000003,0.14999999,0.040000003,0.14999999
6,8.483838705147368e-05,8.486723700694136e-05,1.6991489361702128,1.6991489361702128,3.6207430978498087,0.941648117523255,0.048000004,0.17999999,0.048000004,0.17999999,0.048000004,0.17999999
7,0.00011876423560656593,0.00011882363257268045,1.6990070921985816,1.6990070921985816,3.6207430978498087,0.941648117523255,0.056000005,0.21,0.056000005,0.21,0.056000005,0.21
8,0.00015833726077029898,0.00015844655118540447,1.6988652482269504,1.6988652482269504,3.6207430978498087,0.941648117523255,0.064,0.24,0.064,0.24,0.064,0.24
9,0.0002035540647459043,0.000203739383269871,1.6987234042553192,1.6987234042553192,3.6207430978498087,0.941648117523255,0.072000004,0.26999998,0.072000004,0.26999998,0.072000004,0.26999998
10,0.0002544107386893461,0.00025470602643390964,1.698581560283688,1.698581560283688,3.6207430978498087,0.941648117523255,0.080000006,0.29999998,0.080000006,0.29999998,0.080000006,0.29999998
11,0.00031090286213068097,0.0003113508848862792,1.6984397163120566,1.6984397163120566,3.6207430978498087,0.941648117523255,0.08800001,0.32999998,0.08800001,0.32999998,0.08800001,0.32999998
12,0.00037302550231796915,0.00037367886877923644,1.6982978723404254,1.6982978723404254,3.6207430978498087,0.941648117523255,0.09600001,0.35999998,0.09600001,0.35999998,0.09600001,0.35999998
13,0.00044077321348697456,0.000441695393472586,1.6981560283687942,1.6981560283687942,3.6207430978498087,0.941648117523255,0.10400001,0.39,0.10400001,0.39,0.10400001,0.39
14,0.0005141400360548563,0.0005154063787210072,1.698014184397163,1.698014184397163,3.6207430978498087,0.941648117523255,0.11200001,0.42,0.11200001,0.42,0.11200001,0.42
15,0.0005931194957384814,0.0005948182477840298,1.6978723404255318,1.6978723404255318,3.6207430978498087,0.941648117523255,0.12000001,0.45,0.12000001,0.45,0.12000001,0.45
16,0.0006777046025975452,0.0006799379264584749,1.6977304964539006,1.6977304964539006,3.6207430978498087,0.941648117523255,0.128,0.48,0.128,0.48,0.128,0.48
17,0.000767887850002703,0.0007707728420331596,1.6975886524822694,1.6975886524822694,3.6207430978498087,0.941648117523255,0.136,0.51,0.136,0.51,0.136,0.51
18,0.0008636612135289313,0.0008673309221656526,1.6974468085106382,1.6974468085106382,3.6207430978498087,0.941648117523255,0.14400001,0.53999996,0.14400001,0.53999996,0.14400001,0.53999996
19,0.0009650161497743564,0.0009696205936808444,1.697304964539007,1.697304964539007,3.6207430978498087,0.941648117523255,0.15200001,0.56999993,0.15200001,0.56999993,0.15200001,0.56999993
20,0.0010719435951068606,0.0010776507812890511,1.6971631205673758,1.6971631205673758,3.6207430978498087,0.941648117523255,0.16000001,0.5999999,0.16000001,0.5999999,0.16000001,0.5999999
21,0.001184433964333971,0.0011914309062281126,1.6970212765957446,1.6970212765957446,3.6207430978498087,0.941648117523255,0.16800001,0.6299999,0.16800001,0.6299999,0.16800001,0.6299999
22,0.001302477149298747,0.0013109708848267876,1.6968794326241134,1.6968794326241134,3.6207430978498087,0.941648117523255,0.17600001,0.65999985,0.17600001,0.65999985,0.17600001,0.65999985
23,0.001426062517403167,0.0014362811269879733,1.6967375886524823,1.6967375886524823,3.6207430978498087,0.941648117523255,0.18400002,0.6899998,0.18400002,0.6899998,0.18400002,0.6899998
24,0.001555178910058408,0.0015673725345923533,1.696595744680851,1.696595744680851,3.6207430978498087,0.941648117523255,0.19200002,0.7199998,0.19200002,0.7199998,0.19200002,0.7199998
25,0.0016898146410623575,0.00170425649982215,1.6964539007092199,1.6964539007092199,4.460299064217601,1.1167192904973053,0.20000002,0.74999976,0.20000002,0.74999976,0.20000002,0.74999976
26,0.0018299574949047106,0.0018469449034046446,1.6963120567375887,1.6963120567375887,4.460299064217601,1.1167192904973053,0.20800002,0.77999973,0.20800002,0.77999973,0.20800002,0.77999973
27,0.001975594725000021,0.0019954501127751093,1.6961702127659575,1.6961702127659575,4.460299064217601,1.1167192904973053,0.21600002,0.8099997,0.21600002,0.8099997,0.21600002,0.8099997
28,0.002126713051849095,0.002149784980158784,1.6960283687943263,1.6960283687943263,4.460299064217601,1.1167192904973053,0.22400002,0.8399997,0.22400002,0.8399997,0.22400002,0.8399997
29,0.0022832986611291298,0.0023099628405715148,1.695886524822695,1.695886524822695,4.460299064217601,1.1167192904973053,0.23200002,0.86999965,0.23200002,0.86999965,0.23200002,0.86999965
30,0.002445337201713025,0.0024759975097386542,1.695744680851064,1.695744680851064,4.460299064217601,1.1167192904973053,0.24000002,0.8999996,0.24000002,0.8999996,0.24000002,0.8999996
31,0.0026128137836182973,0.0026479032819318143,1.6956028368794325,1.6956028368794325,4.460299064217601,1.1167192904973053,0.24800003,0.9299996,0.24800003,0.9299996,0.24800003,0.9299996
32,0.002785712975886066,0.0028256949277230417,1.6954609929078013,1.6954609929078013,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
33,0.002964018804390574,0.003009387691655977,1.69531914893617,1.69531914893617,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
34,0.0031421482142468247,0.003193251553167286,1.695177304964539,1.695177304964539,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
35,0.0033201010328218453,0.003377286334083264,1.6950354609929077,1.6950354609929077,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
36,0.00349787709611448,0.003561491864797624,1.6948936170212765,1.6948936170212765,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
37,0.0036754762402864717,0.003745867975546718,1.6947517730496453,1.6947517730496453,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
38,0.003852898301662611,0.00393041449640969,1.694609929078014,1.694609929078014,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
39,0.004030143116730888,0.004115131257308636,1.694468085106383,1.694468085106383,4.460299064217601,1.1167192904973053,0.256,0.95999956,0.256,0.95999956,0.256,0.95999956
40,0.004207210522142644,0.0043000180880087575,1.6943262411347517,1.6943262411347517,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
41,0.004389628152327712,0.0044908578308359625,1.6941843971631205,1.6941843971631205,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
42,0.004571856761893754,0.004681878073481387,1.6940425531914893,1.6940425531914893,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
43,0.0047538961722386934,0.004873078628726283,1.6939007092198581,1.6939007092198581,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
44,0.004935746204945887,0.005064459309175179,1.693758865248227,1.693758865248227,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
45,0.0051174066817843014,0.005256019927256062,1.6936170212765957,1.6936170212765957,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
46,0.0052988774247086845,0.005447760295220563,1.6934751773049646,1.6934751773049646,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
47,0.005480158255859745,0.00563968022514414,1.6933333333333334,1.6933333333333334,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
48,0.005661248997564321,0.005831779528926263,1.6931914893617022,1.6931914893617022,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
49,0.00584214947233556,0.006024058018290597,1.693049645390071,1.693049645390071,4.460299064217601,1.1167192904973053,0.264,0.98999953,0.264,0.98999953,0.264,0.98999953
50,0.006022859502873088,0.006216515504785188,1.6929078014184398,1.6929078014184398,4.043048526357425,-2.716990243996369,0.27199998,0.95999956,0.27199998,0.95999956,0.27199998,0.95999956
51,0.006208849187927249,0.006414989253382761,1.6927659574468084,1.6927659574468084,4.043048526357425,-2.716990243996369,0.27999997,0.9299996,0.27999997,0.9299996,0.27999997,0.9299996
52,0.006400112921986457,0.006619484162884198,1.6926241134751772,1.6926241134751772,4.043048526357425,-2.716990243996369,0.28799996,0.8999996,0.28799996,0.8999996,0.28799996,0.8999996
53,0.006596645626497287,0.006830004641105223,1.692482269503546,1.692482269503546,4.043048526357425,-2.716990243996369,0.29599994,0.86999965,0.29599994,0.86999965,0.29599994,0.86999965
54,0.006798442751194207,0.007046554606324361,1.6923404255319148,1.6923404255319148,4.043048526357425,-2.716990243996369,0.30399993,0.8399997,0.30399993,0.8399997,0.30399993,0.8399997
55,0.007005500275353595,0.007269137488653768,1.6921985815602836,1.6921985815602836,4.043048526357425,-2.716990243996369,0.30399993,0.8399997,0.30399993,0.8399997,0.30399993,0.8399997
56,0.007212370756936154,0.007491894220688701,1.6920567375886524,1.6920567375886524,4.043048526357425,-2.716990243996369,0.30399993,0.8399997,0.30399993,0.8399997,0.30399993,0.8399997
57,0.007419054049974191,0.00771482464525214,1.6919148936170212,1.6919148936170212,4.043048526357425,-2.716990243996369,0.30399993,0.8399997,0.30399993,0.8399997,0.30399993,0.8399997
58,0.007625550008632097,0.00793792860504451,1.69177304964539,1.69177304964539,4.043048526357425,-2.716990243996369,0.30399993,0.8399997,0.30399993,0.8399997,0.30399993,0.8399997
59,0.007831858487206444,0.008161205942643785,1.6916312056737588,1.6916312056737588,4.043048526357425,-2.716990243996369,0.30399993,0.8399997,0.30399993,0.8399997,0.30399993,0.8399997
60,0.008037979340126091,0.008384656500505608,1.6914893617021276,1.6914893617021276,4.043048526357425,-2.716990243996369,0.30399993,0.8399997,0.30399993,0.8399997,0.30399993,0.8399997
61,0.008243912421952285,0.008608280120963397,1.6913475177304964,1.6913475177304964,4.043048526357425,-2.716990243996369,0.31199992,0.8099997,0.31199992,0.8099997,0.31199992,0.8099997
