Step,u_nom_v,u_nom_w,u_safety_v,u_safety_w,x,y,obs_x
0,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0,0.0,6.0
1,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,8e-06,0.0,5.999732441471572
2,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,2.3999999992799997e-05,4.79999999928e-10,5.999464882943144
3,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,4.799999989559999e-05,2.6399999970120003e-09,5.999197324414716
4,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,7.999999937719999e-05,8.399999965908e-09,5.998929765886287
5,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.00011999999757720002,2.0399999785908e-08,5.998662207357859
6,4.037377492763938,1.6769628737442288,4.03737749276394,1.6769628737442288,0.0001679999927172001,4.1999999056908e-08,5.998394648829431
7,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.00022399998160400048,7.727999672313605e-08,5.998127090301003
8,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0002879999590248018,1.3103999040096026e-07,5.997859531772575
9,4.037377492763938,1.6769628737442288,4.037377492763939,1.6769628737442288,0.0003599999170344059,2.0879997528441715e-07,5.997591973244147
10,4.037377492763938,1.6769628737442288,4.037377492763939,1.6769628737442288,0.000439999844134417,3.1679994247942015e-07,5.997324414715719
11,4.037377492763938,1.6769628737442288,4.037377492763937,1.6769628737442288,0.0005279997243444442,4.6199987659492916e-07,5.997056856187291
12,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0006239995361653057,6.520797523966816e-07,5.996789297658863
13,4.037377492763938,1.6769628737442288,4.037377492763939,1.6769628737442288,0.0007279992514342356,8.954395303064065e-07,5.996521739130435
14,4.037377492763938,1.6769628737442288,4.037377492763939,1.6769628737442288,0.0008399988340720949,1.2011991505067643e-06,5.996254180602007
15,4.037377492763938,1.6769628737442288,4.037377492763939,1.6769628737442288,0.0009599982387225873,1.5791985253895747e-06,5.995986622073579
16,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.001087997409283483,2.0399975300622197e-06,5.995719063545151
17,4.037377492763938,1.6769628737442288,4.037377492763937,1.6769628737442288,0.0012239962773298533,2.5948759906044294e-06,5.995451505016723
18,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0013679947604293165,3.2558336697449785e-06,5.995183946488294
19,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.001519992760349303,4.0355902496051555e-06,5.994916387959866
20,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0016799901611563404,4.947585311133179e-06,5.994648829431438
21,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0018479868272073675,6.005978309831074e-06,5.99438127090301
22,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.002023982601033081,7.225648547352845e-06,5.994113712374582
23,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0022079773011133242,8.622195138530114e-06,5.993846153846154
24,4.037377492763938,1.6769628737442288,4.037377492763938,1.6769628737442288,0.0023999707195445264,1.021193697335872e-05,5.993578595317726
25,4.379839766730374,-2.0458159490035004,4.379839766730374,-2.0458159490035004,0.0025999626195992013,1.2011912673457137e-05,5.993311036789297
26,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.0028079527331775207,1.4039880542484861e-05,5.993043478260869
27,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.003023940894228471,1.6301359224401702e-05,5.992775919732441
28,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.0032479269452660455,1.8801147334046058e-05,5.992508361204013
29,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.0034799107388163338,2.1543323480336823e-05,5.992240802675585
